IDTARIFAV,CODARTICULO,DESCRIPCION,REFPROVEEDOR,PBRUTO,DTO,PNETO,PBRUTO2,DTO2,PNETO2,PRICEDATE,CODALMACEN,STOCK,STOCKDATE
1,57,Lolita Lempicka L'Eau En Blanc Edp 100ml,3595200116660,24500,0,24500,25600,50,12800,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,58,Lolita Lempicka Au Masculin Edt 50ml,3595200521020,9400,0,9400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,59,Lolita Lempicka Forbidden Flower Edp30ml,3595200501473,8400,0,8400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,60,Lolita Lempicka Si Lolita Edt 50ml,3595200113447,12000,0,12000,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,61,Lolita Lempicka Si Lolita Edp 50ml,3595200571025,15555.56,10,14000,15529.41,15,13200,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,62,Lolita Lempicka L'Eau Jolie Edt 50ml,3595200118794,12833.33,40,7700,12833.33,40,7699.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,63,Paloma Picasso Edp 100ml,3360370600192,15400,0,15400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,64,Chopard Cascade Edp 75ml,3414200853026,0,0,0,32545.45,45,17900,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,65,Nautica Aqua Rush Edt 100ml,3607346197233,9400,0,9400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,66,Van Cleef First Premier Bouquet Edt100ml,3386460008808,15200,0,15200,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,67,Nautica Pure Discovery Edt 100ml,3607340428791,13000,50,6500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,68,Van Cleef Midnight In Paris P/H Edt 75ml,3386460025171,40000,60,16000,38750,60,15500,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,69,Van Cleef Reve Edp 100ml,3386460052108,43000,60,17200,49250,60,19700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,70,James Bond 007 Edt 125ml,737052581330,15625,20,12500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,71,Joop Go Edt 50ml,3414200064057,6800,0,6800,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,72,John Richmond Woman Edp 50ml,8011003998449,40000,40,24000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,73,TR Body Mist Armaf Club De Nuit Man,0000731,3000,0,3000,0,0,0,2024-01-16 09:59:14.780,RE,0,2025-09-29 09:21:32.397
1,74,John Richmond Viva Rock Edt 100ml,8011003805563,61666.67,40,37000.002,0,0,0,2025-09-12 09:24:10.047,RE,0,2025-09-29 09:21:32.397
1,75,Sarah Jessica Parker Covet Edp 50ml,031655561141,6500,0,6500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,76,SJP Lovely Edp 100ml,5060426150005,40000,70,12000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,77,Van Cleef Oriens Edp 100ml,3386460016346,43750,60,17500,49250,60,19700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,78,E.A 5th Avenue NYC Edp 125ml,085805156602,41000,0,41000,15500,0,15500,2025-06-10 12:43:48.823,RE,0,2025-09-29 09:21:32.397
1,79,Joop Miss Wild Edp 75ml,3607347600275,33571.43,30,23500,33538.46,35,21800,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,80,Beyonce Pulse Edp 100ml,3607344971385,22000,0,22000,0,0,0,2024-03-29 10:24:10.100,RE,0,2025-09-29 09:21:32.397
1,81,Beyonce Heat Edp 100ml,3607344343892,22000,0,22000,0,0,0,2024-03-29 10:24:10.100,RE,0,2025-09-29 09:21:32.397
1,82,Beyonce Midnight Heat Edp 100ml,3607340605154,20000,0,20000,18500,0,18500,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,83,Beyonce Heat Rush Edt 100ml,3607340302565,18500,0,18500,18500,0,18500,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,84,Britney Spears Radiance Edp 100ml,719346135849,32500,20,26000,0,0,0,2025-02-12 12:43:36.360,RE,0,2025-09-29 09:21:32.397
1,85,Britney Spears Hidden Fantasy Edp 30ml,719346552851,24000,50,12000,0,0,0,2024-02-28 13:46:22.387,RE,0,2025-09-29 09:21:32.397
1,86,Britney Spears Hidden Fantasy Edp 100ml,719346552875,58000,50,29000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,87,Britney Spears Curious Control Edp100ml,719346072915,58000,50,29000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,88,Britney Spears Island Fantasy Edt 100ml,719346170673,58000,50,29000,0,0,0,2024-09-25 21:18:02.980,RE,0,2025-09-29 09:21:32.397
1,89,Britney Spears Circus Fantasy Edp 100ml,719346567442,32500,20,26000,0,0,0,2025-02-12 12:43:36.360,RE,0,2025-09-29 09:21:32.397
1,90,Britney Spears Curious Edp 100ml,719346034425,38750,20,31000,0,0,0,2025-02-12 12:43:36.360,RE,0,2025-09-29 09:21:32.397
1,91,Britney Spears Cosmic Radiance Edp 100ml,719346145855,58000,50,29000,0,0,0,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,92,Rihanna Rebelle Edp 100ml,608940549193,51428.57,30,36000,30714.29,0,30714.29,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,93,Rihanna Nude Edp 100ml,608940552353,23000,0,23000,21571.43,30,15100,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,94,Rihanna Reb'l Fleur Edp 100ml,608940543313,26000,0,26000,23000,30,16100,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,95,Shakira S By Shakira Edt 80ml,8411061697283,16833.33,40,10100,16833.33,40,10099.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,96,Queen Latifah Queen Edp 100ml,608940539460,8400,0,8400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,97,Paris Hilton Just Love Me Edt 100ml,608940521700,8400,0,8400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,98,Ghost Man Edt 50ml,766124302511,10100,0,10100,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,99,Swarovski Edition Edt 50ml,3439609005517,8555.56,10,7700,8555.56,10,7700.004,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,100,Bentley For Men Edt 60ml,7640111497554,40000,40,24000,0,0,0,2024-02-20 11:41:48.317,RE,0,2025-09-29 09:21:32.397
1,101,Bentley For Men Edt 100ml,7640111497394,48000,0,48000,0,0,0,2024-07-25 15:24:58.610,RE,0,2025-09-29 09:21:32.397
1,102,Bentley For Men Intense Edp 100ml,7640111497547,52000,0,52000,0,0,0,2024-02-20 11:41:48.317,RE,0,2025-09-29 09:21:32.397
1,103,A.B Seduction Black Edt 100ml,8411061695951,25000,40,15000,8500,0,8500,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,104,A.B The Secret Edt 100ml,8411061701034,14200,0,14200,12875,20,10300,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,105,A.B Blue Seduction M Edt 100ml,8411061636268,24000,0,24000,8500,0,8500,2024-03-29 10:06:51.800,RE,0,2025-09-29 09:21:32.397
1,106,Ferragamo Tuscan Soul Edt 40ml,8032529116933,9400,0,9400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,107,Ferragamo Tuscan Soul Edt 125ml,8032529116957,36666.67,40,22000,32000,55,14400,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,108,Ferragamo Subtil Pour Homme Edt 100ml,8032529110146,26428.57,30,18500,25857.14,30,18099.998,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,109,Ferragamo Incanto Essential P/H Edt100ml,8032529114977,56666.67,70,17000,0,0,0,2024-07-24 15:16:33.720,RE,0,2025-09-29 09:21:32.397
1,110,Ferragamo Incanto Ladies Edp 100ml,8032529110542,73333.33,70,22000,0,0,0,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,111,Ferragamo Incanto Heaven Edt 100ml,8032529116667,45000,40,27000,0,0,0,2023-12-11 12:14:21.000,RE,0,2025-09-29 09:21:32.397
1,112,Ferragamo Incanto Bloom Edt 100ml,8032529118579,34714.29,30,24300,34714.29,30,24300.003,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,113,Ferragamo Incanto Dream Gold Ed.Edt100ml,8034097950933,63333.33,70,19000,0,0,0,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,114,Ferragamo F For Fascinating L Edt 90ml,8032529116537,56666.67,70,17000,30500,0,30500,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,115,Ferragamo F By Ferragamo P/H Edt 100ml,8032529115653,43333.33,70,13000,30625,20,24500,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,116,Ferragamo F By Ferragamo Black Edt 100ml,8032529118050,63333.33,10,57000,76666.67,10,69000,2024-11-13 15:32:27.070,RE,0,2025-09-29 09:21:32.397
1,117,Ferragamo F For Fascinatin Night Edp90ml,8032529119231,50000,50,25000,0,0,0,2024-02-28 13:46:22.387,RE,0,2025-09-29 09:21:32.397
1,118,Ferragamo F By F Men Free Time Edt 100ml,8034097950025,63333.33,10,57000,76666.67,10,69000,2024-11-13 15:32:27.070,RE,0,2025-09-29 09:21:32.397
1,119,Ferragamo F By F Men Free Time Edt 30ml,8034097950001,8400,0,8400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,120,Ferragamo Incanto Bliss Edt 30ml,8032529117121,28333.33,40,17000,0,0,0,2023-12-11 12:14:21.000,RE,0,2025-09-29 09:21:32.397
1,121,Ferragamo Incanto Heaven Edt 30ml,8032529116643,8400,0,8400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,122,Ferragamo F By Ferragamo Edp 30ml,8032529114526,12600,0,12600,12625,20,10100,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,123,Ferragamo Incanto Charms Edt 30ml,8032529112942,7500,0,7500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,124,Ferragamo Attimo L'Eau Florale Edt 100ml,8034097951008,35714.29,30,25000,35714.29,30,25000.003,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,125,Ferragamo Attimo Ladies Edp 100ml,8032529119798,35625,20,28500,35000,20,28000,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,126,Ferragamo Signorina Edp 100ml,8032529118852,105555.56,10,95000,130000,10,117000,2024-11-13 15:32:27.070,RE,0,2025-09-29 09:21:32.397
1,127,Ferragamo Signorina Edt 100ml,8034097954429,76666.67,10,69000,128333.33,40,77000,2024-11-13 15:32:27.070,RE,0,2025-09-29 09:21:32.397
1,128,Ferragamo Attimo Pour Homme Edt 100ml,8034097951077,33125,20,26500,31250,20,25000,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,129,Ferragamo Acqua Essenziale P/H Edt 100ml,8034097953668,103333.33,70,31000,34375,20,27500,2024-09-25 21:18:02.983,RE,3,2025-09-29 09:21:32.397
1,130,Ferragamo Incanto Charms Edt 100ml,8032529114076,56666.67,40,34000,0,0,0,2024-06-20 18:04:48.637,RE,0,2025-09-29 09:21:32.397
1,131,Ferragamo Incanto Ladies Edp 50ml,8032529110535,17400,0,17400,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,132,Ferragamo Incanto Bliss Edt 50ml,8032529117138,27142.86,30,19000,26285.71,30,18399.997,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,133,Ferragamo Incanto Shine Edt 30ml,8032529114731,7500,0,7500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,134,Armani Onde Extase Edp 100ml,3605520839481,27500,40,16500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,135,Armani Onde Vertige Edp 100ml,3605520838644,25100,0,25100,25125,20,20100,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,136,Armani Onde Mystere Edp 100ml,3605520840326,25100,0,25100,25142.86,30,17600,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,137,Armani Acqua Di Gioia Edp 100ml,3605521172525,159000,0,159000,132500,20,106000,2025-05-29 10:00:00.253,RE,0,2025-09-29 09:21:32.397
1,138,Armani Eau Pour Homme Edt 100ml,3605521544353,110000,50,55000,36000,0,36000,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,139,Armani Code Ultimate Intense Edt 75ml,3605521694683,43333.33,10,39000,41058.82,15,34900,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,140,Armani Idole D'Armani Edp 75ml,3605520916465,23000,0,23000,23052.63,5,21900,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,141,Armani Emporio Diamonds Intense Edp100ml,3605520910197,35714.29,30,25000,30714.29,30,21500.003,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,142,Armani Acqua Di Gio Essenza Edp 75ml,3605521419378,88000,50,44000,30000,0,30000,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,143,Armani Sport Code Pour Homme Edt 75ml,3605521322203,31666.67,10,28500,31647.06,15,26900,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,144,Armani Attitude Extreme P/H Edt 75ml,3605520964503,16600,0,16600,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,145,Armani Eau De Nuit Pour Homme Edt 100ml,3605521695178,122000,50,61000,35500,0,35500,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,146,Armani Sport Code Pour Homme Edt 125ml,3605521324481,35600,0,35600,35571.43,30,24900,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,147,Armani Acqua Di Gioia Essenza Edp 100ml,3605521475411,137142.86,30,96000,85000,0,85000,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,148,Armani Code Pour Homme Edt 125ml,3360375006432,108000,50,54000,63058.82,15,53600,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,149,Armani Mania Pour Homme Edt 100ml,3360372045229,35000,40,21000,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,150,Armani Mania Pour Femme Edp 75ml,3360372089896,30833.33,40,18500,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,151,Armani Sport Code Athlete Edt 75ml,3605521569103,47500,20,38000,42153.85,35,27400,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,152,Armani Acqua Di Gioia Essenza Edp 50ml,3605521475343,88000,50,44000,27000,0,27000,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,153,Armani Acqua Di Gioia Edp 50ml,3605521172587,116000,0,116000,95000,20,76000,2025-05-29 10:00:00.253,RE,0,2025-09-29 09:21:32.397
1,154,Armani Eau Pour Homme Edt 50ml,3605521544285,102000,50,51000,0,0,0,2024-09-25 21:18:02.983,RE,0,2025-09-29 09:21:32.397
1,155,Armani Eau De Nuit Pour Homme Edt 50ml,3605521695109,102000,50,51000,0,0,0,2024-09-25 21:18:02.987,RE,1,2025-09-29 09:21:32.397
1,156,Armani Code Luna Sensuelle Edt 50ml,3605521444271,46000,50,23000,0,0,0,2024-09-25 21:18:02.987,RE,0,2025-09-29 09:21:32.397
1,157,Armani Attitude Pour Homme Edt 75ml,3605520301605,31666.67,40,19000,31000,40,18600,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,158,Armani Emporio Diamonds Edp 50ml,3605520380259,20833.33,40,12500,20823.53,15,17700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,159,Armani Code Pour Femme Edt 50ml,3605520292484,23125,20,18500,23176.47,15,19700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,160,Armani Acqua Di Gio Pour Homme Edt 50ml,3360372058861,79000,0,79000,85000,20,68000,2024-02-20 12:02:47.050,RE,0,2025-09-29 09:21:32.397
1,161,Armani Acqua Di Gio Essenza Edp 180ml,3605521419439,162000,50,81000,38500,0,38500,2024-02-28 13:46:22.387,RE,0,2025-09-29 09:21:32.397
1,162,Armani Emporio Diamonds Intense Edp 50ml,3605520888595,25714.29,30,18000,24117.65,15,20500,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,163,Armani Mania Pour Femme Edp 50ml,3360372089872,24571.43,30,17200,24588.24,15,20900,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,164,Armani Emporio Diamonds P/H Edt 75ml,3605520381096,25000,40,15000,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,165,Armani Onde Extase Edp 50ml,3605520839429,62000,50,31000,0,0,0,2024-09-25 21:18:02.987,RE,0,2025-09-29 09:21:32.397
1,166,Armani Attitude Extreme P/H Edt 50ml,3605520964442,23333.33,40,14000,23294.12,15,19800,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,167,Armani Mania Pour Homme Edt 50ml,3360372045212,26666.67,40,16000,26705.88,15,22700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,168,Armani Emporio He Classic Edt 50ml,3360372061823,12000,0,12000,0,0,0,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,169,Armani Emporio She Classic Edp 50ml,3360372061793,16100,0,16100,16117.65,15,13700,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
1,170,Armani Emporio Diamonds P/H Edt 50ml,3605520381034,21428.57,30,15000,21647.06,15,18400,2023-12-11 12:08:04.000,RE,0,2025-09-29 09:21:32.397
